country,iso3_code,year,continent,ahdi,life_exp,schooling,democracy,gdp,gini,co2_per_capita
Belgium,BEL,1995,Europe,0.6203528971938618,0.49706918887177415,0.4355120884448049,0.808,0.8466946983289926,28.4,12.42636
Belgium,BEL,2000,Europe,0.6457786284555405,0.5259848008455195,0.4639634720768071,0.821,0.8680295929875659,33.1,12.366287
Belgium,BEL,2005,Europe,0.6722902945516609,0.5728824294467312,0.49893831058520655,0.813,0.8790720387825591,29.3,11.991515
Belgium,BEL,2010,Europe,0.6942895696512128,0.616035616128811,0.5158760808474903,0.827,0.884109058840263,28.4,10.475143
Belgium,BEL,2015,Europe,0.7122255353096344,0.6613942124349133,0.5250424837862935,0.835,0.8874192591582212,27.7,8.986653
Belgium,BEL,2020,Europe,0.7353814317288657,0.6555560061785031,0.6124263361061004,0.823,0.8850894108488423,26.0,7.9076037
Brazil,BRA,1990,South America,0.4086676900985946,0.2944500668212708,0.21587183788825762,0.693,0.6331991620098301,60.5,1.466092
Brazil,BRA,1995,South America,0.4340875364103766,0.3201491149019416,0.2348303842766471,0.732,0.645195887634756,59.5,1.66122
Brazil,BRA,2005,South America,0.48502661086200705,0.3810472537031028,0.27789074635575145,0.789,0.6624183316499799,56.3,1.9728968
Brazil,BRA,2015,South America,0.5013551220480417,0.4329223469150718,0.26898651819973846,0.786,0.6902696225728302,51.9,2.6189272
Brazil,BRA,2020,South America,0.45362890783985294,0.4257634236081548,0.28829357308715053,0.508,0.6791033416843127,48.8,2.1470218
Canada,CAN,1990,North America,0.6726796475958211,0.5151174889438657,0.6197930833179937,0.753,0.8516970743113735,31.4,16.481726
Canada,CAN,1995,North America,0.695664447941836,0.5345101574598496,0.6770807987076988,0.756,0.8560142234019084,31.5,16.677519
Canada,CAN,2000,North America,0.7255717418096077,0.5802820396374823,0.71562261977912,0.758,0.8804993651650634,33.4,18.344023
Canada,CAN,2005,North America,0.7659876642822033,0.6210751896817487,0.8264380872838989,0.751,0.8930847243466945,33.6,17.583017
Canada,CAN,2010,North America,0.7724542857091945,0.6896368165114388,0.7591162875140993,0.761,0.8936711609937918,33.6,16.20929
Canada,CAN,2015,North America,0.78090969456166,0.730874281310382,0.7639784431248539,0.738,0.9024499215114508,33.7,15.655382
Canada,CAN,2020,North America,0.8275504173863576,0.740611575229289,0.9434232708152406,0.748,0.897385753068802,29.9,13.732821
Chile,CHL,1990,South America,0.48661086347145777,0.39636864317466663,0.33590447798391965,0.623,0.6759647836510372,57.2,2.449037
Chile,CHL,2000,South America,0.5929230604595668,0.497980832445373,0.40200959176889123,0.82,0.7528881678443464,52.8,3.7734768
Chile,CHL,2015,South America,0.6382137811582798,0.6025788734966067,0.3981180340755811,0.846,0.8174639251138729,45.3,4.5312576
Chile,CHL,2020,South America,0.6479909838967766,0.5863145890400064,0.4821284950044465,0.77,0.8100123242327195,47.0,4.1391664
China,CHN,1990,Asia,0.18538375295621937,0.32135970341281944,0.17266116913967172,0.049,0.4344146915010801,32.2,2.1528878
China,CHN,2005,Asia,0.24354170344537238,0.42800134070893436,0.24667669460690972,0.056,0.5950207083990644,40.9,4.4899764
China,CHN,2010,Asia,0.25880477089415294,0.4632013551944352,0.2653334769847211,0.055,0.6636888981139453,43.7,6.370445
China,CHN,2015,Asia,0.26351338225161036,0.5011723115521152,0.2630085268562225,0.052,0.7034779015975612,38.6,7.0609546
China,CHN,2020,Asia,0.25726841245342125,0.5364811999115467,0.26092064576528656,0.042,0.7451327018056257,37.1,7.64075
Colombia,COL,2000,South America,0.39317586153391443,0.37333854453528775,0.230119560508539,0.43,0.6468782764228971,58.4,1.4380411
Colombia,COL,2005,South America,0.39657595443931376,0.4063559404403375,0.20911423446307903,0.438,0.664570704114997,53.9,1.4302857
Colombia,COL,2010,South America,0.44889697958902075,0.4491862910176014,0.26111649020234184,0.501,0.6910161766505363,54.4,1.684584
Colombia,COL,2015,South America,0.47118422819751593,0.48058986235375484,0.2587194217309573,0.551,0.7194618065705213,52.0,1.9379755
Colombia,COL,2020,South America,0.47362316441465085,0.44293554288923737,0.3300128337711114,0.484,0.7112381085197884,54.4,1.8231317
Denmark,DNK,1995,Europe,0.665405942116385,0.4553429823931229,0.5663487363623173,0.88,0.8638561780748062,23.0,11.780834
Denmark,DNK,2000,Europe,0.6923899076519696,0.4963423637053312,0.5967861673786967,0.877,0.8847146717183458,23.8,10.170421
Denmark,DNK,2005,Europe,0.7256235068954788,0.5416470588964881,0.6417972497297346,0.893,0.8930580177931936,25.2,9.509078
Denmark,DNK,2010,Europe,0.7265577953039698,0.5807977240605788,0.60303452920059,0.893,0.8909680323770437,27.2,8.866418
Denmark,DNK,2015,Europe,0.7749014805579882,0.6527062680236972,0.6924594651823854,0.89,0.8963627839130737,28.2,6.177417
Denmark,DNK,2020,Europe,0.8007610054429726,0.7029860144260568,0.7368182207760691,0.877,0.9051176408629116,27.5,4.8528743
Ecuador,ECU,1995,South America,0.4043240375684313,0.368496831112704,0.2623410742004317,0.46,0.6009804770674457,50.8,2.0304213
Ecuador,ECU,2000,South America,0.41954896103221084,0.40154061999895374,0.28192604690654155,0.461,0.5936971817268758,56.3,1.6509491
Ecuador,ECU,2005,South America,0.4396614414410746,0.43704243631857587,0.29853836640769305,0.463,0.6185413901785708,53.1,2.2137334
Ecuador,ECU,2010,South America,0.40870072225598053,0.45893310561337974,0.3133282056089369,0.307,0.6320251591153362,48.8,2.41893
Ecuador,ECU,2015,South America,0.40281543365198186,0.4956294072451622,0.2959601919932516,0.274,0.6550636158206284,46.0,2.5388634
Ecuador,ECU,2020,South America,0.44588491134440766,0.3883961320235167,0.3272708731136138,0.492,0.6320388156135236,47.3,1.8507442
Ethiopia,ETH,1995,Africa,0.1053893825011523,0.13694323874507563,0.03399155104130149,0.103,0.25729931977333065,44.6,0.04355351
Ethiopia,ETH,2010,Africa,0.14939619031249998,0.22632527540243141,0.05788200736113723,0.111,0.34257721231790733,33.2,0.070071824
Ethiopia,ETH,2015,Africa,0.16707080327843302,0.2666973589694881,0.0697198781449507,0.105,0.39905945891735,35.0,0.12095851
Finland,FIN,1995,Europe,0.6395110885408842,0.4902803274469083,0.49528534003580066,0.834,0.8258978299586627,23.5,11.378802
Finland,FIN,2000,Europe,0.6708082999835501,0.5228493038767198,0.5342413259429825,0.839,0.8640079440887544,27.2,11.01523
Finland,FIN,2005,Europe,0.6967458189832823,0.5696299162922734,0.5647588084364467,0.83,0.8825993223432896,27.6,10.87746
