year,row_variable,row_label,col_variable,col_label,correlation,abs_correlation
2000,life_exp,Esperanza de vida,gini,Desigualdad (Gini),-0.48498423191281687,0.48498423191281687
2000,life_exp,Esperanza de vida,co2_per_capita,CO₂ per cápita,0.6278967827112796,0.6278967827112796
2000,schooling,Educación,ahdi,AHDI,0.9226967547668657,0.9226967547668657
2000,schooling,Educación,life_exp,Esperanza de vida,0.7822146717419732,0.7822146717419732
2000,schooling,Educación,schooling,Educación,1.0,1.0
2000,schooling,Educación,democracy,Democracia,0.7338503161022687,0.7338503161022687
2000,schooling,Educación,gdp,PIB per cápita,0.8223323815710928,0.8223323815710928
2000,schooling,Educación,gini,Desigualdad (Gini),-0.5225949229161512,0.5225949229161512
2000,schooling,Educación,co2_per_capita,CO₂ per cápita,0.7429538477316123,0.7429538477316123
2000,democracy,Democracia,ahdi,AHDI,0.9064513914413234,0.9064513914413234
2000,democracy,Democracia,life_exp,Esperanza de vida,0.7586745916801512,0.7586745916801512
2000,democracy,Democracia,schooling,Educación,0.7338503161022687,0.7338503161022687
2000,democracy,Democracia,democracy,Democracia,1.0,1.0
2000,democracy,Democracia,gdp,PIB per cápita,0.8442520267165268,0.8442520267165268
2000,democracy,Democracia,gini,Desigualdad (Gini),-0.5016914508518051,0.5016914508518051
2000,democracy,Democracia,co2_per_capita,CO₂ per cápita,0.7098224369226915,0.7098224369226915
2000,gdp,PIB per cápita,ahdi,AHDI,0.9445710569574428,0.9445710569574428
2000,gdp,PIB per cápita,life_exp,Esperanza de vida,0.8907416404852866,0.8907416404852866
2000,gdp,PIB per cápita,schooling,Educación,0.8223323815710928,0.8223323815710928
2000,gdp,PIB per cápita,democracy,Democracia,0.8442520267165268,0.8442520267165268
2000,gdp,PIB per cápita,gdp,PIB per cápita,1.0,1.0
2000,gdp,PIB per cápita,gini,Desigualdad (Gini),-0.4469362622253769,0.4469362622253769
2000,gdp,PIB per cápita,co2_per_capita,CO₂ per cápita,0.7678521963534288,0.7678521963534288
2000,gini,Desigualdad (Gini),ahdi,AHDI,-0.5393246426145801,0.5393246426145801
2000,gini,Desigualdad (Gini),life_exp,Esperanza de vida,-0.48498423191281687,0.48498423191281687
2000,gini,Desigualdad (Gini),schooling,Educación,-0.5225949229161512,0.5225949229161512
2000,gini,Desigualdad (Gini),democracy,Democracia,-0.5016914508518051,0.5016914508518051
2000,gini,Desigualdad (Gini),gdp,PIB per cápita,-0.4469362622253769,0.4469362622253769
2000,gini,Desigualdad (Gini),gini,Desigualdad (Gini),1.0,1.0
2000,gini,Desigualdad (Gini),co2_per_capita,CO₂ per cápita,-0.4980302350889237,0.4980302350889237
2000,co2_per_capita,CO₂ per cápita,ahdi,AHDI,0.7728943309265738,0.7728943309265738
2000,co2_per_capita,CO₂ per cápita,life_exp,Esperanza de vida,0.6278967827112796,0.6278967827112796
2000,co2_per_capita,CO₂ per cápita,schooling,Educación,0.7429538477316123,0.7429538477316123
2000,co2_per_capita,CO₂ per cápita,democracy,Democracia,0.7098224369226915,0.7098224369226915
2000,co2_per_capita,CO₂ per cápita,gdp,PIB per cápita,0.7678521963534288,0.7678521963534288
2000,co2_per_capita,CO₂ per cápita,gini,Desigualdad (Gini),-0.4980302350889237,0.4980302350889237
